Monthly El Nino Sea Surface Temperature (degrees Celsius)
Year.Month    SST (!Uo!NC)
1908.875000  -0.79
1908.958333  -0.85
1909.041667  -0.97
1909.125000  -0.83
1909.208333  -0.53
1909.291667  -0.56
1909.375000  -0.68
1909.458333  -0.62
1909.541667  -0.61
1909.625000  -0.82
1909.708333  -1.32
1909.791667  -1.36
1909.875000  -1.31
1909.958333  -1.27
1910.041667  -0.96
1910.125000  -1.01
1910.208333  -1.08
1910.291667  -1.41
1910.375000  -0.99
1910.458333  -0.73
1910.541667  -0.64
1910.625000  -0.88
1910.708333  -0.89
1910.791667  -0.86
1910.875000  -0.84
1910.958333  -0.81
1911.041667  -0.86
1911.125000  -0.85
1911.208333  -0.94
1911.291667  -0.72
1911.375000  -0.40
1911.458333   0.37
1911.541667   0.61
1911.625000   0.58
1911.708333   0.51
1911.791667   1.07
1911.875000   1.15
1911.958333   1.39
1912.041667   1.09
1912.125000   1.08
1912.208333   0.80
1912.291667   0.67
1912.375000   0.07
1912.458333  -0.12
1912.541667  -0.21
1912.625000  -0.14
1912.708333  -0.15
1912.791667  -0.24
1912.875000  -0.22
1912.958333  -0.35
1913.041667  -0.19
1913.125000  -0.02
1913.208333  -0.45
1913.291667  -0.61
1913.375000  -0.58
1913.458333  -0.09
1913.541667   0.08
1913.625000   0.09
1913.708333   0.34
1913.791667   0.42
1913.875000   0.70
1913.958333   0.83
1914.041667   0.99
1914.125000   0.79
1914.208333   0.63
1914.291667   0.40
1914.375000   0.28
1914.458333   0.55
1914.541667   0.60
1914.625000   1.12
1914.708333   1.04
1914.791667   1.15
1914.875000   1.21
1914.958333   1.43
1915.041667   1.44
1915.125000   1.46
1915.208333   1.53
1915.291667   1.30
1915.375000   1.30
1915.458333   0.45
1915.541667   0.05
1915.625000  -0.09
1915.708333  -0.04
1915.791667  -0.02
1915.875000  -0.74
1915.958333  -1.08
1916.041667  -1.38
1916.125000  -1.33
1916.208333  -1.24
1916.291667  -1.22
1916.375000  -0.91
1916.458333  -0.82
1916.541667  -1.35
1916.625000  -1.68
1916.708333  -1.62
1916.791667  -1.78
1916.875000  -1.83
1916.958333  -1.68
1917.041667  -1.33
1917.125000  -1.63
1917.208333  -0.98
1917.291667  -1.06
1917.375000  -0.39
1917.458333  -0.18
1917.541667  -0.26
1917.625000  -0.68
1917.708333  -0.75
1917.791667  -0.14
1917.875000   0.06
1917.958333  -1.06
1918.041667  -1.17
1918.125000  -0.94
1918.208333  -0.80
1918.291667  -0.16
1918.375000   0.22
1918.458333   0.91
1918.541667   1.00
1918.625000   0.99
1918.708333   0.96
1918.791667   1.29
1918.875000   1.47
1918.958333   1.39
1919.041667   1.42
1919.125000   0.85
1919.208333   0.76
1919.291667   0.44
1919.375000   0.95
1919.458333   0.60
1919.541667   0.19
1919.625000   0.59
1919.708333   0.55
1919.791667   0.23
1919.875000   0.02
1919.958333   0.33
1920.041667   1.09
1920.125000   0.88
1920.208333   0.24
1920.291667  -0.31
1920.375000  -0.15
1920.458333  -0.02
1920.541667   0.27
1920.625000   0.33
1920.708333   0.38
1920.791667   0.11
1920.875000  -0.17
1920.958333   0.01
1921.041667  -0.18
1921.125000  -1.46
1921.208333  -1.62
1921.291667  -1.59
1921.375000  -0.77
1921.458333  -0.73
1921.541667  -0.32
1921.625000   0.13
1921.708333   0.16
1921.791667   0.05
1921.875000  -1.02
1921.958333  -1.04
1922.041667  -0.63
1922.125000  -0.42
1922.208333   0.09
1922.291667   0.26
1922.375000  -0.36
1922.458333  -1.38
1922.541667  -1.79
1922.625000  -2.05
1922.708333  -1.89
1922.791667  -1.12
1922.875000  -0.93
1922.958333  -0.85
1923.041667  -0.80
1923.125000  -1.28
1923.208333  -0.18
1923.291667  -0.04
1923.375000   0.70
1923.458333   0.23
1923.541667   0.05
1923.625000   0.21
1923.708333   0.38
1923.791667   0.51
1923.875000   0.64
1923.958333   0.86
1924.041667   0.38
1924.125000  -0.13
1924.208333  -0.35
1924.291667  -1.14
1924.375000  -0.47
1924.458333  -0.87
1924.541667  -0.73
1924.625000  -0.94
1924.708333  -0.88
1924.791667  -1.05
1924.875000  -0.92
1924.958333  -1.16
1925.041667  -1.07
1925.125000  -1.44
1925.208333  -0.32
1925.291667  -0.21
1925.375000  -0.09
1925.458333   0.05
